meter_id,mid_level,aggregate
0001,E001,I003
0002,E001,I003
0003,E001,I003
0004,E001,I003
0005,E001,I003
0006,E001,I003
0007,E001,I003
0008,E001,I003
0009,E001,I003
0010,E002,I002
0011,E002,I002
0014,E002,I002
0015,E002,I002
0023,E004,I003
0028,E004,I003
0045,E029,I002
0046,E029,I002
0047,E029,I002
0048,E029,I002
0049,E029,I002
0051,E029,I002
0052,E029,I002
0053,E029,I002
0054,E029,I002
0055,E029,I002
0056,E029,I002
0057,E029,I002
0060,E029,I002
0061,E029,I002
0062,E029,I002
0063,E029,I002
0064,E029,I002
0065,E029,I002
0066,E029,I002
0067,E029,I002
0068,E029,I002
0069,E029,I002
0070,E029,I002
0071,E029,I002
0072,E029,I002
0073,E029,I002
0074,E029,I002
0077,E029,I002
0078,E029,I002
0079,E029,I002
0080,E009,I003
0081,E009,I003
0083,E009,I003
0084,E009,I003
0085,E009,I003
0086,E009,I003
0088,E009,I003
0089,E009,I003
0102,E012,I003
0103,E012,I003
0104,E012,I003
0106,E012,I003
0112,E014,I002
0113,E014,I002
0114,E014,I002
0155,E017,I002
0156,E017,I002
0157,E017,I002
0158,E017,I002
0163,E018,I002
0164,E018,I002
0166,E018,I002
0168,E018,I002
0186,E021,I003
0187,E021,I003
0189,E021,I003
0190,E021,I003
0191,E021,I003
0192,E021,I003
0193,E021,I003
0195,E021,I003
0196,E021,I003
0197,E021,I003
0198,E021,I003
0199,E022,I002
0200,E022,I002
0202,E022,I002
0204,E022,I002
0205,E022,I002
0206,E022,I002
0207,E022,I002
0208,E022,I002
0209,E022,I002
0210,E022,I002
0211,E022,I002
0212,E022,I002
0213,E022,I002
0214,E022,I002
0215,E022,I002
0216,E022,I002
0217,E022,I002
0235,E024,I002
0236,E024,I002
0237,E024,I002
0238,E024,I002
0239,E024,I002
0240,E024,I002
0246,E025,I003
0248,E025,I003
0266,E027,I002
0267,E027,I002
0269,E027,I002
0270,E027,I002
0272,E027,I002
0273,E027,I002
0274,E027,I002
0275,E027,I002
0276,E027,I002
0288,E028,I002
0291,E018,I002
0299,E022,I002
0303,E021,I003
0305,E029,I002
0310,E025,I003
0313,E029,I002
0315,E029,I002
0316,E018,I002
0357,E028,I002
0360,E029,I002
0362,E029,I002
0400,E022,I002
0402,E027,I002
0403,E029,I002
0404,E022,I002
0407,E009,I003
0408,E024,I002
0409,E029,I002
0410,E029,I002
0411,E014,I002
0412,E014,I002
0413,E014,I002
0415,E029,I002
0419,E022,I002
0420,E012,I003
0421,E029,I002
0422,E029,I002
0424,E014,I002
0427,E027,I002
0428,E002,I002
0429,E009,I003
0435,E014,I002
0436,E022,I002
0443,E025,I003
0444,E024,I002
0446,E024,I002
0451,E029,I002
0453,E001,I003
0454,E009,I003
0455,E021,I003
0456,E029,I002
0458,E001,I003
0468,E012,I003
0469,E012,I003
0470,E014,I002
0472,E001,I003
0477,E021,I003
0478,E009,I003
0481,E027,I002
0482,E012,I003
0486,E001,I003
0491,E027,I002
0492,E021,I003
0496,E029,I002
0499,E020,I002
0516,E029,I002
0519,E009,I003
0523,E020,I002
0524,E017,I002
0526,E009,I003
0528,E009,I003
0531,E028,I002
0535,E012,I003
0538,E001,I003
0543,E001,I003
0547,E009,I003
0548,E029,I002
0551,E029,I002
0554,E022,I002
